,대출사기형 사례
0,KB저축은행입니다. 핸드폰 어떤거 사용하세요?
1,우리은행 직원인데요 영업점에선 절 모를수도있어요
2,KB저축은행인데요 카카오톡친구추천부탁드립니다
3,영업점에선 절 모를수도있어요(...???)
4,OO캐피탈입니다. 심사결과 확인되어서 연락드렸습니다.
5,OO저축은행입니다.
6,동 상품은 연체를 하시거나 고의적으로 상환을 회피하실 경우 고객님의 미래 소득에 대한 추심권한을 부여받고 진행되는 대출상품입니다. 대출 서류 접수를 위해 사업자등록증과 신분증 사본을 보내주세요
7,"고객님 상환하셨다는 서류를 고객센터로 보내야 하는데, 수요일이 공휴일이라 처리가 밀려서 아직 상환내역이 확인안되시는 걸거에요"
8,(통장매매) 사장님께서 안쓰시는 계좌 있으시면 월 400~450만원까지 선지급해드리고 임대하고 있어 연락 드렸습니다
9,현재 이용하시는 고금리 대출 상품들 저금리 전환 가능하세요. 현재 이용하시는 고금리 대출이 얼마정도 되시나요?
10,"제가 불러드리는 주소로 입력하셔서 어플리케이션 다운로드받으세요. 나중에 대출 심사부에서 전자 서명차 연락드릴건데, 그때 저희 어플리케이션 실행하시면 전자 서명하실 수 있으세요."
11,고객님께서 쓰시는 통장을 연계해서 마이너스 통장을 발급해드리고 있습니다. 현재 이용하시는 계좌번호를 불러주세요.
12,"단시간에 신용평점을 상향시킬 수 있는 방법이 있는데, 채무상환능력평가라는 방법입니다. 채무상환능력평가라는 것은 고객님께서 대출을 발생시키시고 곧바로 일시상환함으로써 자금 상환능력이 있다는 것을 증명하는 방법입니다."
13,"이 상품은 정부지원자금대출이기 때문에, 현재 고객님의 대출 현황을 말씀해주셔야 해요"
14,(대포통장 명의인으로 신고된 제보자가 전화해서 담당자 바꿔달라고 하자) OOO대리 오늘자로 퇴사하셨는데요.
15,(현금 인출책 모집) 저희 쪽 직원에게 수수료를 제한 금액을 전달하시면 됩니다
16,(대출을 취소하겠다고 하자) 고객님 본인 취소 건이기 때문에 입금하신 돈을 환급받으시려면 최소 일주일을 기다리셔야 합니다
17,OO저축은행에서 대출받으시면 1시간 이내에 처리될 수 있도록 하겠습니다
18,저희는 이미 확정금리로 나왔습니다. 무조건 대출 진행 가능합니다.
19,"대출 진행 취소하시면, 기존에 고객님께서 납부하셨던 금액 반환받으시는데 일주일 정도 걸립니다"
20,(현금인출책 모집) 자동차를 구매하려는 고개들의 체크카드로 입금되는 구매대금을 인출하여 회사계좌로 무통장입금하시면 됩니다
21,"팀장 이상 직급 직원의 개인실명계좌로 상환절차를 진행하실거에요. 대출 과정에서 종종 문제가 발생하는데, 책임을 회피하지 못하도록 팀장 이상 직원의 개인계좌로 절차를 진행하는 거에요"
22,"(대출사기 ①) 이미 금감원 쪽에 고객님께서 대출 알아보신다는 정보가 들어가서, 만약에 지금 대출을 취소하시면 향후 대출 받으실 때 불이익이 있을 수 있습니다"
23,(대출사기 ②) 저희 수금 담당자가 OOO씨(실제로는 미리 확보해둔 대포통장) 인데요. 혹시 은행에서 왜 여기로 송금하냐고 하면
24,"책에다가 체크카드꽂고, 그 책을 박스에 넣고, 그 박스를 테이프로 동봉하셨어요? 퀵서비스 직원 보내드릴게요. 은행에 ATM 1일 현금인출한도는 1천만원으로 변경해주세요."
25,OO저축은행 본사 변제과의 △△△ 팀장님 계좌(실제로는 미리 확보해둔 대포통장)입니다. 이 계좌로 원금 380만원을 상환하셔야 납부하셨다는 서류가 발급됩니다.
26,"신용도가 좀 낮아서, 신용도만 조금 상향되시면 보증서 발급 후 저희 쪽 대출 이용하실 수 있을 것 같습니다. 신용도를 상향하시려면, 당일 대출을 받으신 직후에 바로 상환하셔서 대출 상환 내역을 만드시면 돼요."
27,"OO저축은행 법인 콜센터인데, 타사 대출을 저금리로 채무통합해드리겠습니다"
28,OO저축은행 자금회수팀 OOO팀장입니다.
29,담당자관리계좌로 상환하신 후에 저희 쪽으로 연락주시면 상환 내용 확인해서 OO은행 쪽으로 완납결제서류 발송하도록 하겠습니다
30,"지금 대출 받으시려고 편법으로 진행하는거기 때문에, 혹시 은행 창구 직원이 돈을 왜 송금하는지 물어보더라도 마이너스 통장 발급받으려고 상환하는 거라고 말씀하시면 안됩니다. 사촌한테 사업자금 빌려주려고 송금하는거라고 말씀하시면 됩니다."
31,"담당자 관리계좌로 보내실 때 다른 문구가 확인되실텐데, 그 문구를 저한테 알려주세요"
32,(은행·캐피탈 직원 역할분담 ① - 은행직원) OOO캐피탈 채권회수팀에 직접 연락하셔서 기존 대출을 납부하시면서 전산이관 요청을 하셔야 합니다
33,"(은행·캐피탈 직원 역할분담 ② - 은행직원) 고객님이 OOO캐피탈에 직접 연락하시면 저희가 필요한 공문을 못받아요 못받아요. 저희가 미리 OOO캐피탈에 공문 요청할테니, 해당 직원에게 상환하세요"
34,(은행·캐피탈 직원 역할분담 ③ - 캐피탈직원) 저희 OOO캐피탈 대출 갚으시고 OO은행으로 저금리 대출 전환하시려는거 아니죠?
35,(현금인출책으로 이용) 김OO씨한테서 2천만원이 입금될 거에요. 은행에서 무슨 관계냐고 물으면 친오빠라고 하세요
36,대출을 위해 공증료를 내셔야 해요. (피해자가 돈이 없다고 하자) 그러시면 계좌에 거래내역을 생성시켜 신용평점을 높이시는 방법도 있어요.
37,(피해자에게 돈을 구하라고 한 후) 월요일날 다시 예약을 잡아드리겠습니다
38,"(대포통장 모집-①) 퀵서비스를 보내드릴 건데, 적당한 크기의 박스에 걸레 등을 꽉 채워서 무게를 늘려서 체크카드인 걸 들키지 않게 해서 보내주세요"
39,(대포통장 모집-②) (제보자가 대포통장 명의인으로 신고된 후 화가 나서 전화하자) 저희도 보이스피싱 사기를 당한거에요
40,저한테 사기꾼이라고 욕하신거 사과하시면 제가 내일 마이너스 통장 내어드릴게요. 사과 안하시고 마이너스 통장 신청 취소하시면 대부업체에 상환한 금액은 3개월 후에 환급받으시게 돼요.
41,원하시는 대출금의 20%에 해당하는 금액을 예치하셔야 상환능력이 확인되어 대출이 가능합니다
42,OO캐피탈 보안모듈 관련 전자계약서를 모바일 링크로 보내드렸습니다.
43,"발급비용은 대출금액의 1%로 확인되었고, 저희가 지정해드리는 법무사 계좌로 보내시면 됩니다"
44,고객님 소득만을 담보로 진행되는 대출이기 때문에 고객님 소득에 대한 1차적인 추심 권한을 저희 햇살저축은행에 부여하기 위해 공증 절차를 진행하는 것입니다
45,"저희는 중개업체이긴 한데, 신한쪽 금융 관련해서 중개를 하다보니 신한금융이라고 말씀드리고 있습니다"
46,"대출승인은 났는데, 저희도 자금이 없어서 오늘 바로 내어드리기가 어렵습니다. 내일은 무조건 내어드릴 수 있습니다"
47,"이 돈은 나중에 고객님께 반납 처리해드리기 때문에 소득이 아니고, 편법적인 부분이기 때문에 저희 법인 계좌로 상환받을 수는 없고, 전산팀 담당자를 섭외해서 그 분의 가상계좌로 상환받아야 합니다"
48,"일단 접수해드리고, 10분 후에 저희 심사과에서 전화가 갈테니 그때 받아주세요"
49,최근에 대출받기 위해서 서류로 신청하신 적 있으신가요? 없으시면 대출 진행 가능하십니다
50,OO금융입니다. 신용카드 이용 중이시면 신용카드 한도 범위 내에서 대출 가능합니다.
51,제가 고객님을 가까운 지인 등록해두었기 때문에 인지세 납부하실 필요 없습니다
52,"만약에 원래 기존 (법인)상환계좌로 입금하시면, 중도상환이 되어 버리기 때문에, 가상계좌로 상환을 진행한 것입니다"
53,인지세 등록이 안되셔서 아직 대출금이 못 나간 것 같습니다. 인지세는 나중에 환급됩니다.
54,"대출은 자산관리공사 보증을 전제로 하기 때문에, 자산관리공사 회원가입을 해주셔야 합니다. 제가 보내드리는 링크로 접속하세요"
55,"심사과에 얘기해서 대출 승인되도록 약속드릴테니까, 고객님은 나중에 딴 말 하지 마십시오"
56,"OO컨설팅인데, 고금리 대출 저리로 전환해드려요. 불법 아니고 합법으로 하는 겁니다."
57,"최근에 저희 회사 대출조건이 좋아졌는데, 대환대출하실 계획 있으신가요?"
58,대출이 필요하다고 하셔서 우리금융에서 연락드렸습니다
59,현대캐피탈 자금회수팀입니다. 저희 쪽으로 상환요청이 들어와서 연락드렸습니다
60,고객님께서 다른 금융회사에서 대출문의하신 것이 부결나셔서 저희 이벤트상품을 안내드리고자 연락드렸습니다
61,(현금인출책 모집) 저희는 사업자들에게 거래 내역 생성시켜서 수수료를 받는 회사입니다. 고객님들로부터 자금 수령 후 다시 회사 계좌로 입금하시면 됩니다.
62,대포통장으로 신고되셨다고요? 고객님 다른 사람한테서 돈 받으신거 없으시잖아요 다 저희가 송금해드린겁니다.
63,1차 심사가 완료되었는데 이 결과를 자산관리공사에 올려서 보증보험사가 발급되어야 대출이 됩니다.
64,"왜 상환처리하냐고 물어보면, 현금이 융통되어서 필요없게 되었다고 답하세요. 점수 올리려고 상환한다고 하시면 안돼요."
65,(대포통장 모집) 저희가 고객님 통장에 돈을 넣어 서류상 고객님 채권인 것처럼 만드는 방식으로 통장에 기록을 만들어서 평점을 높이면 빠른 시일 내에 대출이 가능합니다.
66,(사기이용계좌 명의인에게 지급정지 해제 명목으로 금전 요구) 계좌 지급정지를 해제하기 위해서는 200만원을 보내주셔야 합니다. 그렇지 않으시면 벌금 500만원 정도 납부하시고 6개월~1년 정도 기다리셔야 해요.
67,"NH농협캐피탈인데, 사금융 이용중이시면 대환 가능하십니다. 저희 상담원들은 접수만 받고 있고, 심사과에서 금리나 한도를 봐드립니다."
68,저희가 대출중개업자는 아니고 저희 OO금융에서 자체적으로 대출받으시는거에요. 은행권은 아니구요.
69,"저희가 고객님 정보를 알고 연락 드린건 아니고, 이번에 홍보 기간이라 컴퓨터 상 숫자 조합을 해서 연락드리는 겁니다."
70,"경고하는데, 경찰에 신고하거나 주변 사람한테 알리면 애 배를 칼로 찌릅니다."
71,당장 카드 들고 은행가서 단기카드대출 받아서 600만원 정도 뽑아. 만나서 우리는 돈 받고 당신은 애 데리고 가.
72,"원래는 개인 계좌로 입금하시면 안되지만, 고객님은 특별한 케이스여서 담당자를 지정한 후 해당 계좌에 상환하셔야 하는 경우라 그렇습니다."
73,가승인 한도와 금리 산출 완료되었습니다. 심사과에서 최종 승인 결정되면 고객님 거주 지역에서 현금인구유동이 가장 많은 지점으로 배정해드릴 예정입니다
74,"앱 프로그램을 삭제하면 기존에 작성된 신청서가 모두 삭제돼서, 다시 작성해주셔야 할 것 같습니다. 홈페이지 링크 다시 보내드리도록 하겠습니다."
75,(4) 고객님과 담당자 간 부정대납이 있었던 것을 해결해주셔야 대출이 가능합니다.
76,(3) 송금 시간이 늦어져서 예약 송금 건으로 자금 송금하도록 하겠습니다
77,(2) 법무사 전산만 확인만 되면 자금 수령 가능하십니다
78,(1) 고객님께 배정된 법무사님께 98만원 송금 부탁드립니다
79,"고객님들의 신용대출 거래내역을 토대로 대출을 해드리는데, 고객님은 신용대출이 없어 상환능력평가 미달로 부결처리되었습니다"
80,금일 저희 음성안내메세지를 들으시고 마이너스 통장 문의주신 분 맞으신가요?
81,(피해자가 의심하자) 고객님께서 OO캐시에 대출금 상환하실 때 저희가 중도상환수수료 같은거 요구하던가요? 저희 도움으로 정상적으로 상환하셨죠? 사기업체면 이렇게 안합니다
82,이 번호는 OO캐피탈 심사부 내선 전화번호입니다
83,모든 계약 녹취가 완료되었습니다. 한국자산관리공사 캠코심사팀 OOO 과장이었습니다
84,[대포통장 모집] 카지노 업계는 계좌이체를 했을 경우에 거래내역이 발생하면 안되기 때문에 현금전달을 원칙으로 합니다. 일을 하게 되면 계좌번호와 비밀번호를 알려주세요
85,고객님 최근에 OO저축은행에서 대출받으신 내역을 확인하고 연락드렸어요. 저희 회사에서 정부지원자금으로 마련된 저금리 대출상품이 있는데 사용해보시라고 전화드렸어요
86,"고객님은 상환능력평가 미달로 아쉽게 부결처리되셨습니다. 그런데 제가 다음달에 아주 중요한 진급심사가 있는데, 편법이지만 고객님은 예외 심사 건으로 진행하려 합니다"
87,은행 전산부 회계담당 계좌번호로 납부처리하시면 곧바로 납부 상환 증명서를 발급해드립니다. 제가 고객님 도와드리려고 외삼촌이라고 지인 설정까지 해서 대출 심사 진행한 겁니다
88,이 계좌는 금융감독원에 신청해서 고객님꼐 발급된 에스크로 계좌입니다
89,[대포통장 모집] 1일 출금한도 600만원으로 설정한 부분에 대해 저희가 내부절차금액을 통해 입금을 했다 출금을 하는 방식으로 확인하는 것입니다.
90,사람 없는데서 전화받아. 울거나 하면 돈 필요 없이 애 죽인다
91,신용평점을 높이려면 기존 대출을 상환하셔야 합니다
92,[대출사기 1단계] 피해자에게 접근 2
93,"우리금융인데, 필요하신 자금 있으신가 해서 연락드렸습니다"
94,만약 대출금 지급이 거절되면 제가 제 사비로 직접 대출을 받아서 오천만원 보내드리겠습니다
95,300~500만원 정도 본인 융통이 되시면 나머지는 저희가 지원금 통해서 같이 상환하는 걸로 도와드리겠습니다
96,[대출사기 5단계] 금전편취 시도
97,[대출사기 4단계] 피해자 안심시키기
98,[대출사기 3단계] 심리적 압박 및 신뢰 형성
99,[대출사기 2단계] 개인정보 탈취 시도
100,[대출사기 1단계] 피해자에게 접근
101,고객님께서는 OO머니 대출은 이미 상환처리하셨으니 앞으로는 OO머니에서 오는 연락은 받지 마세요
102,금감원에서 세무대행팀 배정받아서 한것이니 대출 취소하려면 금감원에 전화해서 환급받으세요
103,"고객님 전용 주소인 125.230.101.94로 접속하셔서 앱 다운로드하세요. 무서류, 무방문 대출이라 모바일 앱으로만 대출 진행합니다"
104,대출 건에 대해서 인지세 110만원이 발생합니다. 혹시 대출 부결되면 인지세는 환급처리되니까 걱정마세요
105,대출받으실때 '정부상품 대출 위해 상환처리 하려고 하는거다'라고 말씀하시면 안됩니다
106,"신용평점 상향을 위해 강제 채권 상환 절차를 진행하셨는데, 코드 번호 걸고 하는 중대한 문제여서 중도에 멈추시면 저한테 페널티가 옵니다"
107,여신금융협회로 이관 처리를 하여 만기상환 처리했다고 전산 반영하기 위해 담당 주무관의 개인 계좌로 상환하는 것입니다
108,고객님께서 저희 OO캐피탈로부터 대출을 받는다는 녹취를 진행하도록 하겠습니다. 동 내용으로 인해 유출 등의 문제 발생시 금감원에 손해배상청구소송을 진행하실 수 있습니다
109,고객님이 부채 한도가 초과되어 초과된 만큼 기존 대출을 상환하셔야 합니다. 기존 대출 상환하시면 6500만원까지 확실히 대출 나갑니다
110,아저씨가 니 동생 손가락 자르고 눈알 파버리고 동영상 찍어서 너한테 넣어줄게 똑똑히 쳐다봐라
111,사원번호 --- OOO 상담사는 △△△ 고객님의 동의 하에 대리접수 진행하도록 하겠습니다
112,제가 고객님 계신 곳으로 계약서 들고 갈까요? 대출금은 3분이면 나갈 수 있습니다
113,고금리 대출 부채를 보유하신 분들 대상으로 대환대출 권유 ARS 전화를 드리고 있습니다
114,신용평점이 신용등급에 비해 낮게 책정되어 상환능력이 낮아 원칙대로라면 부결로 처리될 건이신데요
115,소비자금융권에서 대출을 받으시면 제1금융권에서 대환대출하실 수 있으세요
116,OO캐피탈 보증보험상품입니다. 서울보증보험에 보증료를 납부하셔도 나중에 돌려드려요
117,서민금융통합지원센터에 대출 접수 이관 후 한국자산관리공사에서 심사 완료되면 대출금 수령 가능합니다-2
118,서민금융통합지원센터에 대출 접수 이관 후 한국자산관리공사에서 심사 완료되면 대출금 수령 가능합니다-1
119,대출을 위해서 신분증 사본과 3개월치 입출금 거래내역서를 보내주셔야 합니다
120,인지세 94만원은 향후 저희가 돌려드립니다
121,고객님께서 DTI 점수가 초과되셔서 기존 대출을 부분상환하셔야 합니다
122,돈을 안 준다니 애 심장을 파는 수밖에 없다
123,OOO 팀장 계좌로 상환하시면 됩니다
124,국민행복기금에서 지원하는 마이너스통장상품입니다
125,"(인출책 모집수법) 돈을 받아서 비트코인을 산 다음 현금화하는 건데, 편법이긴 하지만 불법은 아닙니다"
126,서울신용보증기금에서 보증서를 발급받아서 대출해드립니다
127,"(인출책 모집수법) 환전 시 한 통장에 3천만원 이상 거래되면 세금이 많이 나오기 때문에, 알바생을 뽑아 금전 인출 업무를 맡기고 있다"
128,(인출책 모집 수법) 귀하의 계좌로 입금되는 중고차 매매 대금을 인출해서 영업사원에게 전달해드리면 됩니다
129,대출을 받으시고 고객님께 발급되는 대위변제용 전용 계좌에 상환하시면 됩니다
130,본인인증을 직접 하셔야 해서 저희가 홈페이지 IP주소를 따로 불러드리는거에요
131,대출심사요령 말씀드릴께요. 자금용도 물어보시면 생활안정자금이라고 답하세요
132,고객님께서 보유 중이신 채무 일부를 직접 상환처리하시면 조건부 대출 승인 가능합니다
133,저희는 코드번호를 가진 금융회사 수탁업체입니다
134,기존 대출을 반환하시면 됩니다
135,실적을 내야 해서 편법이지만 대출해드리는거다
136,돌아가신 부모님을 납치했다고 협박하는 사기전화
137,부모님을 납치했다고 협박하는 사기전화
138,자녀 이름을 사전에 알고 납치했다며 협박하는 사기전화
139,미술학원에 간 자녀를 납치했다고 협박하는 사기전화
140,학교에 간 자녀를 잡치했다고 협박하는 사기전화
141,상담원 이름을 묻자 대답하지 않음
142,편법을 통해서 저금리 대출 가능
143,실제 존재하지 않는 금융회사를 사칭
144,금융지주회사 브랜드 명칭을 언급하며 서민금융을 지원한다고 함
145,음성안내에 대해 대출상담을 신청하자 시중은행을 사칭
146,실제 대출광고인 것처럼 ARS를 이용하여 대출영업
147,대출처리를 위해 인지세 납부 후 인지증서를 받아 세무서에 가면 환급해 준다고 함
148,기존 대출금 일부를 변제해야 저금리로 대출이 가능
149,경매대행 업체를 사칭하여 대포통장 및 인출책 모집
150,택배 업체를 사칭하여 대포통장 및 인출책 모집
151,SC저축은행 햇살론 안내센터라며 대출 권유
152,서류 필요없는 카드대출을 권유하면서 회사를 밝히지 않음
153,우리금융 사칭 - 금융지주회사는 대출을 하지 않음
154,제일저축은행을 사칭하면서 방문 상담을 하지 않도록 유도
155,(ARS) 행복을 약속하는 신한은행
156,신한금융 사칭 대출권유
157,"<span style=""font-weight: bold;color: red;""><NEW> </span>[대출빙자형 9] ARS로 대출안내를 신청한 피해자에게 대출상품을 안내해 줄 것처럼 속임"
158,"<span style=""font-weight: bold;color: red;""><NEW> </span>[대출빙자형 8] (ARS) 정부지원자금으로 대환하고 싶으면 안내를 받도록 유인"
159,"<span style=""font-weight: bold;color: red;""><NEW> </span>[대출빙자형 7] 편법을 통해 피해자 신용평점을 상향시키기 위한 대출상환 요구-ⓑ"
160,"<span style=""font-weight: bold;color: red;""><NEW> </span>[대출빙자형 6] 편법을 통해 피해자 신용평점을 상향시키기 위한 대출상환 요구-ⓐ"
161,"<span style=""font-weight: bold;color: red;""><NEW> </span>[대출빙자형 5] 사금융 대환대출 명목으로 피해자의 무통장입금 유도"
162,<span style=`font-weight: bold;color: red;`><NEW> </span> [대출빙자형 4] 햇살론을 받기 위하여 피해자의 기존 대출을 일부 상환해야 한다고 유도
163,"<span style=""font-weight: bold;color: red;""><NEW> </span>[대출빙자형 3] 은행을 사칭하면서 서민금융나들목 상품 명목의 대출을 안내"
164,"<span style=""font-weight: bold;color: red;""><NEW> </span>[대출빙자형 2] 정부지원자금 대출을 받기 위한 공증서 발급비용 요구"
165,"<span style=""font-weight: bold;color: red;""><NEW> </span>[대출빙자형 1] 서민 정부지원대출을 권유하면서 신용보증서 발급비용 요구"
166,탈세를 명목으로 하여 통장을 양도하도록 유도
167,<span style='font-weight: bold;color: blue;'> </span><B> 구직사이트를 통해 대포통장을 개설하는 아르바이트 모집2</B>
168,<span style='font-weight: bold;color: blue;'> </span><B> 구직사이트를 통해 대포통장을 개설하는 아르바이트 모집1</B>
169,<span style='font-weight: bold;color: blue;'> </span><B> 신용등급 상향을 위해 변제명목으로 입금을 유도</B>
170,<span style='font-weight: bold;color: blue;'></span><B> 전산상 대출 가능조건을 만든다는 명목으로 선입금을 요구</B>
171,<span style='font-weight: bold;color: blue;'></span><B>편법대출 진행을 위해 추가 입금을 요구</B>
172,<span style='font-weight: bold;color: blue;'></span><B>신용관리 명목으로 비용을 요구 </B>
173,<span style='font-weight: bold;color: blue;'> </span><B>통장 임대 요청 (한달 임대료 250만원 드려요) </B>
174,<span style='font-weight: bold;color: blue;'> </span><B> 입출금 가능한 계좌 임대 요청 (한달에 300만원) </B>
175,"사용료는 처음에는 하루에 18만원씩, 하루하루 보내드려요"
176,고객님. 이부분은 전산삭제해서 받아가셔야 해요
177,내년도 초반도에는 신용등급이 빠르게 올라가세요
178,유포할까요_지워드릴까요_한명당 50만원
179,<span style='font-weight: bold;color: blue;'>신종 사기</span> 농협직원 가장한 금융사기
180,이벤트행사 통장 한개당 300만원 제안
181,취업빙자 통장편취사기
182,금감원 은행조사관 사칭 명의도용 사건
183,시티캐피탈사칭
184,은행연합회사칭_보안카드탈취시도_ATM기 앞으로 유도
